src_file,stamp,gpu,sm_count,clock_ghz,round,shape,M,N,K,kernel,iters,ms,gflops,pct_peak,ai,roofline_gflops,roofline_pct,load_per_fma,dist,bcast,ldg,req_per_fma,beat,cyc_per_load,model_pred,model_note,regs,barriers,smem_bytes,spill_bytes,occ_pct,blocks_per_sm,threads_per_block,block_x,block_y,grid_x,grid_y,footprint_mb,verified
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,1,square,1024,1024,1024,k0,11,0.054,40112.9,48.58,,,,,,,,,,,,,,,,,,,,,,,,12.6,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,1,square,1024,1024,1024,k1,11,3.489,615.4,0.75,0.25,252.0,244.3,2.0,0.0,0.0,2.0,33.0,33.54,16.77,3.78,,40,0,0,0,66.7,1,1024,32,32,32,32,12.6,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,1,square,1024,1024,1024,k2,11,0.435,4938.5,5.98,0.25,252.0,1960.5,2.0,0.0,0.0,2.0,2.0,4.18,2.09,3.78,,40,0,0,0,66.7,1,1024,32,32,32,32,12.6,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,1,square,1024,1024,1024,k3,11,0.348,6163.6,7.46,7.877,7941.0,77.6,2.062,1.0,1.0,0.062,,3.35,1.62,3.26,,38,1,8192,0,66.7,1,1024,32,32,32,32,12.6,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,1,square,1024,1024,1024,k3c,11,0.339,6337.6,7.67,12.488,12589.0,50.3,2.039,1.0,1.0,0.039,,3.26,1.6,3.21,,38,1,8192,0,66.7,1,1024,32,32,8,32,12.6,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,1,square,1024,1024,1024,k4,11,0.129,16611.1,20.12,7.877,7941.0,209.2,1.188,0.125,1.0,0.062,,1.24,1.05,0.97,,54,1,8192,0,75.0,9,128,32,4,32,32,12.6,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,1,square,1024,1024,1024,k5,11,0.091,23588.4,28.57,12.488,12589.0,187.4,0.414,0.125,0.25,0.039,,0.88,2.11,0.53,,72,1,20480,0,33.3,4,128,32,4,8,32,12.6,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,1,square,1024,1024,1024,k6,11,0.076,28375.8,34.36,12.488,12589.0,225.4,0.104,0.031,0.062,0.01,,0.73,7.03,0.13,k6 是 128 位 load，单价未标定，这个数只当下界,111,1,20480,0,33.3,4,128,32,4,8,32,12.6,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,1,square,2048,2048,2048,k0,11,0.324,53092.5,64.3,,,,,,,,,,,,,,,,,,,,,,,,50.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,1,square,2048,2048,2048,k1,11,26.469,649.1,0.79,0.25,252.0,257.6,2.0,0.0,0.0,2.0,33.0,31.81,15.9,3.78,,40,0,0,0,66.7,1,1024,32,32,64,64,50.3,1
